datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-26 12:00:00,SCL,Seattle City Light,D,Demand,882,megawatthours
2025-08-26 11:00:00,SCL,Seattle City Light,D,Demand,873,megawatthours
2025-08-26 10:00:00,SCL,Seattle City Light,D,Demand,901,megawatthours
2025-08-26 09:00:00,SCL,Seattle City Light,D,Demand,935,megawatthours
2025-08-26 08:00:00,SCL,Seattle City Light,D,Demand,991,megawatthours
2025-08-26 07:00:00,SCL,Seattle City Light,D,Demand,1071,megawatthours
2025-08-26 06:00:00,SCL,Seattle City Light,D,Demand,1162,megawatthours
2025-08-26 05:00:00,SCL,Seattle City Light,D,Demand,1252,megawatthours
2025-08-26 04:00:00,SCL,Seattle City Light,D,Demand,1306,megawatthours
2025-08-26 03:00:00,SCL,Seattle City Light,D,Demand,1328,megawatthours
2025-08-26 02:00:00,SCL,Seattle City Light,D,Demand,1372,megawatthours
2025-08-26 01:00:00,SCL,Seattle City Light,D,Demand,1415,megawatthours
2025-08-26 00:00:00,SCL,Seattle City Light,D,Demand,1413,megawatthours
2025-08-25 23:00:00,SCL,Seattle City Light,D,Demand,1397,megawatthours
2025-08-25 22:00:00,SCL,Seattle City Light,D,Demand,1356,megawatthours
2025-08-25 21:00:00,SCL,Seattle City Light,D,Demand,1333,megawatthours
2025-08-25 20:00:00,SCL,Seattle City Light,D,Demand,1295,megawatthours
2025-08-25 19:00:00,SCL,Seattle City Light,D,Demand,1256,megawatthours
2025-08-25 18:00:00,SCL,Seattle City Light,D,Demand,1221,megawatthours
2025-08-25 17:00:00,SCL,Seattle City Light,D,Demand,1183,megawatthours
2025-08-25 16:00:00,SCL,Seattle City Light,D,Demand,1135,megawatthours
2025-08-25 15:00:00,SCL,Seattle City Light,D,Demand,1080,megawatthours
2025-08-25 14:00:00,SCL,Seattle City Light,D,Demand,1004,megawatthours
2025-08-25 13:00:00,SCL,Seattle City Light,D,Demand,934,megawatthours
2025-08-25 12:00:00,SCL,Seattle City Light,D,Demand,884,megawatthours
2025-08-25 11:00:00,SCL,Seattle City Light,D,Demand,878,megawatthours
2025-08-25 10:00:00,SCL,Seattle City Light,D,Demand,893,megawatthours
2025-08-25 09:00:00,SCL,Seattle City Light,D,Demand,924,megawatthours
2025-08-25 08:00:00,SCL,Seattle City Light,D,Demand,976,megawatthours
2025-08-25 07:00:00,SCL,Seattle City Light,D,Demand,1039,megawatthours
2025-08-25 06:00:00,SCL,Seattle City Light,D,Demand,1133,megawatthours
2025-08-25 05:00:00,SCL,Seattle City Light,D,Demand,1190,megawatthours
2025-08-25 04:00:00,SCL,Seattle City Light,D,Demand,1246,megawatthours
