datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-23 13:00:00,PJM,"PJM Interconnection, LLC",D,Demand,84880,megawatthours
2025-08-23 12:00:00,PJM,"PJM Interconnection, LLC",D,Demand,81117,megawatthours
2025-08-23 11:00:00,PJM,"PJM Interconnection, LLC",D,Demand,79289,megawatthours
2025-08-23 10:00:00,PJM,"PJM Interconnection, LLC",D,Demand,78340,megawatthours
2025-08-23 09:00:00,PJM,"PJM Interconnection, LLC",D,Demand,78208,megawatthours
2025-08-23 08:00:00,PJM,"PJM Interconnection, LLC",D,Demand,79207,megawatthours
2025-08-23 07:00:00,PJM,"PJM Interconnection, LLC",D,Demand,81251,megawatthours
2025-08-23 06:00:00,PJM,"PJM Interconnection, LLC",D,Demand,84251,megawatthours
2025-08-23 05:00:00,PJM,"PJM Interconnection, LLC",D,Demand,88072,megawatthours
2025-08-23 04:00:00,PJM,"PJM Interconnection, LLC",D,Demand,92137,megawatthours
2025-08-23 03:00:00,PJM,"PJM Interconnection, LLC",D,Demand,97236,megawatthours
2025-08-23 02:00:00,PJM,"PJM Interconnection, LLC",D,Demand,103755,megawatthours
2025-08-23 01:00:00,PJM,"PJM Interconnection, LLC",D,Demand,108497,megawatthours
2025-08-23 00:00:00,PJM,"PJM Interconnection, LLC",D,Demand,112680,megawatthours
2025-08-22 23:00:00,PJM,"PJM Interconnection, LLC",D,Demand,117085,megawatthours
2025-08-22 22:00:00,PJM,"PJM Interconnection, LLC",D,Demand,118284,megawatthours
2025-08-22 21:00:00,PJM,"PJM Interconnection, LLC",D,Demand,116449,megawatthours
2025-08-22 20:00:00,PJM,"PJM Interconnection, LLC",D,Demand,113077,megawatthours
2025-08-22 19:00:00,PJM,"PJM Interconnection, LLC",D,Demand,109621,megawatthours
2025-08-22 18:00:00,PJM,"PJM Interconnection, LLC",D,Demand,106280,megawatthours
2025-08-22 17:00:00,PJM,"PJM Interconnection, LLC",D,Demand,102159,megawatthours
2025-08-22 16:00:00,PJM,"PJM Interconnection, LLC",D,Demand,99557,megawatthours
2025-08-22 15:00:00,PJM,"PJM Interconnection, LLC",D,Demand,97306,megawatthours
2025-08-22 14:00:00,PJM,"PJM Interconnection, LLC",D,Demand,95374,megawatthours
2025-08-22 13:00:00,PJM,"PJM Interconnection, LLC",D,Demand,93314,megawatthours
2025-08-22 12:00:00,PJM,"PJM Interconnection, LLC",D,Demand,90480,megawatthours
2025-08-22 11:00:00,PJM,"PJM Interconnection, LLC",D,Demand,87147,megawatthours
