datetime,respondent,respondent-name,type,type-name,energy_consumption_mw,value-units
2025-08-10 17:00:00,NYIS,New York Independent System Operator,D,Demand,19203,megawatthours
2025-08-10 16:00:00,NYIS,New York Independent System Operator,D,Demand,18128,megawatthours
2025-08-10 15:00:00,NYIS,New York Independent System Operator,D,Demand,17134,megawatthours
2025-08-10 14:00:00,NYIS,New York Independent System Operator,D,Demand,16270,megawatthours
2025-08-10 13:00:00,NYIS,New York Independent System Operator,D,Demand,15655,megawatthours
2025-08-10 12:00:00,NYIS,New York Independent System Operator,D,Demand,15296,megawatthours
2025-08-10 11:00:00,NYIS,New York Independent System Operator,D,Demand,15112,megawatthours
2025-08-10 10:00:00,NYIS,New York Independent System Operator,D,Demand,15154,megawatthours
2025-08-10 09:00:00,NYIS,New York Independent System Operator,D,Demand,15199,megawatthours
2025-08-10 08:00:00,NYIS,New York Independent System Operator,D,Demand,15504,megawatthours
2025-08-10 07:00:00,NYIS,New York Independent System Operator,D,Demand,16003,megawatthours
2025-08-10 06:00:00,NYIS,New York Independent System Operator,D,Demand,16656,megawatthours
2025-08-10 05:00:00,NYIS,New York Independent System Operator,D,Demand,17545,megawatthours
2025-08-10 04:00:00,NYIS,New York Independent System Operator,D,Demand,18597,megawatthours
2025-08-10 03:00:00,NYIS,New York Independent System Operator,D,Demand,19753,megawatthours
2025-08-10 02:00:00,NYIS,New York Independent System Operator,D,Demand,20740,megawatthours
2025-08-10 01:00:00,NYIS,New York Independent System Operator,D,Demand,21611,megawatthours
2025-08-10 00:00:00,NYIS,New York Independent System Operator,D,Demand,22235,megawatthours
2025-08-09 23:00:00,NYIS,New York Independent System Operator,D,Demand,22466,megawatthours
2025-08-09 22:00:00,NYIS,New York Independent System Operator,D,Demand,21949,megawatthours
2025-08-09 21:00:00,NYIS,New York Independent System Operator,D,Demand,21120,megawatthours
2025-08-09 20:00:00,NYIS,New York Independent System Operator,D,Demand,20213,megawatthours
2025-08-09 19:00:00,NYIS,New York Independent System Operator,D,Demand,19443,megawatthours
2025-08-09 18:00:00,NYIS,New York Independent System Operator,D,Demand,18778,megawatthours
2025-08-09 17:00:00,NYIS,New York Independent System Operator,D,Demand,18028,megawatthours
2025-08-09 16:00:00,NYIS,New York Independent System Operator,D,Demand,17235,megawatthours
2025-08-09 15:00:00,NYIS,New York Independent System Operator,D,Demand,16515,megawatthours
2025-08-09 14:00:00,NYIS,New York Independent System Operator,D,Demand,15997,megawatthours
2025-08-09 13:00:00,NYIS,New York Independent System Operator,D,Demand,15642,megawatthours
2025-08-09 12:00:00,NYIS,New York Independent System Operator,D,Demand,15392,megawatthours
2025-08-09 11:00:00,NYIS,New York Independent System Operator,D,Demand,15098,megawatthours
2025-08-09 10:00:00,NYIS,New York Independent System Operator,D,Demand,14990,megawatthours
2025-08-09 09:00:00,NYIS,New York Independent System Operator,D,Demand,14971,megawatthours
2025-08-09 08:00:00,NYIS,New York Independent System Operator,D,Demand,15176,megawatthours
2025-08-09 07:00:00,NYIS,New York Independent System Operator,D,Demand,15626,megawatthours
2025-08-09 06:00:00,NYIS,New York Independent System Operator,D,Demand,16263,megawatthours
2025-08-09 05:00:00,NYIS,New York Independent System Operator,D,Demand,17156,megawatthours
2025-08-09 04:00:00,NYIS,New York Independent System Operator,D,Demand,18206,megawatthours
2025-08-09 03:00:00,NYIS,New York Independent System Operator,D,Demand,19440,megawatthours
2025-08-09 02:00:00,NYIS,New York Independent System Operator,D,Demand,20640,megawatthours
2025-08-09 01:00:00,NYIS,New York Independent System Operator,D,Demand,21531,megawatthours
2025-08-09 00:00:00,NYIS,New York Independent System Operator,D,Demand,22246,megawatthours
2025-08-08 23:00:00,NYIS,New York Independent System Operator,D,Demand,22599,megawatthours
2025-08-08 22:00:00,NYIS,New York Independent System Operator,D,Demand,22499,megawatthours
2025-08-08 21:00:00,NYIS,New York Independent System Operator,D,Demand,21852,megawatthours
2025-08-08 20:00:00,NYIS,New York Independent System Operator,D,Demand,21063,megawatthours
2025-08-08 19:00:00,NYIS,New York Independent System Operator,D,Demand,20380,megawatthours
2025-08-08 18:00:00,NYIS,New York Independent System Operator,D,Demand,19798,megawatthours
